StationCode,StationName_Short,DistrictName,Latitude,Longitude,LastReadingTime,DistrictCode_from_JS
RF.TBR.02,ส.คลองสำเหร่,ธนบุรี,13.7067,100.49646,19/11/2568 21:45,114
RF.TBR.03,ส.ดาวคะนอง,ธนบุรี,13.6949,100.48758,19/11/2568 21:45,116
RF.BKN.01,สนข.บางกอกน้อย,บางกอกน้อย,13.77078,100.46806,19/11/2568 21:30,35
RF.BKN.02,ส.คลองมอญ,บางกอกน้อย,13.74714,100.48531,19/11/2568 21:45,109
RF.BKY.01,สนข.บางกอกใหญ่,บางกอกใหญ่,13.72332,100.47622,19/11/2568 21:45,36
RF.BKY.02,ส.คลองบางกอกใหญ่,บางกอกใหญ่,13.74022,100.49012,19/11/2568 21:45,111
RF.BKP.02,จุดวัด ค.แสนแสบ-เขตบางกะปิ,บางกะปิ,13.76528,100.64773,19/11/2568 21:45,72
RF.BKT.01,สนข.บางขุนเทียน,บางขุนเทียน,13.66083,100.43531,19/11/2568 21:45,46
RF.BKT.02,ส.คลองเลนเปน,บางขุนเทียน,13.607,100.41311,19/11/2568 21:45,121
RF.BKT.03,ส.คลองระหาญ,บางขุนเทียน,13.60381,100.39465,19/11/2568 21:45,122
RF.BKT.04,ส.คลองราชมนตรี,บางขุนเทียน,13.62782,100.4394,19/11/2568 21:45,123
RF.BKT.05,ส.คลองสนามชัย,บางขุนเทียน,13.63802,100.44763,19/11/2568 21:45,131
RF.BKA.01,สนข.บางเขน,บางเขน,13.87349,100.59643,19/11/2568 21:45,16
RF.BKA.02,จุดวัด ค.บางบัว,บางเขน,13.85796,100.58682,19/11/2568 21:45,59
RF.BKL.01,สนข.บางคอแหลม,บางคอแหลม,13.69311,100.50229,19/11/2568 21:45,6
RF.BKL.02,ส.วัดไทร,บางคอแหลม,13.68653,100.51643,19/11/2568 21:45,84
RF.BKE.01,สนข.บางแค,บางแค,13.69622,100.40919,19/11/2568 21:45,44
RF.BKE.02,ค.ราชมนตรี-ภาษีเจริญ,บางแค,13.70754,100.42622,19/11/2568 21:45,113
RF.BKE.03,ส.คลองบางจาก,บางแค,13.71471,100.39555,19/11/2568 21:45,53
RF.BKE.04,หมู่บ้านเศรษฐกิจ ซอย 26,บางแค,13.72167,100.37676,19/11/2568 21:40,24
RF.BSU.01,สนข.บางซื่อ,บางซื่อ,13.80973,100.53723,19/11/2568 21:45,10
RF.BSU.02,ส.คลองบางเขนใหม่,บางซื่อ,13.81729,100.5105,19/11/2568 21:45,63
RF.BSU.03,ส.คลองบางซื่อ,บางซื่อ,13.80023,100.51848,19/11/2568 21:45,65
RF.BSU.04,ซ.สะพานขวา ,บางซื่อ,13.80501,100.52844,19/11/2568 21:45,48
RF.BNA.01,สนข.บางนา,บางนา,13.68095,100.59184,19/11/2568 21:45,32
RF.BNA.02,ส.บางนา,บางนา,13.67493,100.58757,19/11/2568 21:45,86
RF.BNA.03,จุดวัด ค.บางนา-ถ.ศรีนครินทร์,บางนา,13.66106,100.63942,19/11/2568 21:45,87
RF.BBN.01,สนข.บางบอน,บางบอน,13.63392,100.36884,19/11/2568 21:45,45
RF.BBN.02,จุดวัด ค.บางบอน-ค.สะแกงาม,บางบอน,13.64255,100.37952,19/11/2568 21:45,130
RF.BPD.01,สนข.บางพลัด,บางพลัด,13.79429,100.50479,19/11/2568 21:45,37
RF.BRK.01,สนข.บางรัก,บางรัก,13.73067,100.52382,19/11/2568 21:45,4
RF.BRK.02,ส.กรุงเกษม,บางรัก,13.73042,100.51397,19/11/2568 21:45,75
RF.BKM.01,สนข.บึงกุ่ม,บึงกุ่ม,13.7855,100.66949,19/11/2568 21:45,28
RF.PTW.01,สนข.ปทุมวัน,ปทุมวัน,13.74493,100.5222,19/11/2568 21:45,8
RF.PTW.02,ปตร.คลองอรชร,ปทุมวัน,13.74807,100.53618,19/11/2568 21:45,94
RF.PWT.01,สนข.ประเวศ,ประเวศ,13.71701,100.69472,19/11/2568 21:45,26
RF.PWT.02,ปตร.วัดกระทุ่มฯ,ประเวศ,13.7241,100.68957,19/11/2568 21:45,77
RF.PWT.03,จุดวัดบึงหนองบอน,ประเวศ,13.69529,100.65375,19/11/2568 21:45,105
RF.PPS.01,สนข.ป้อมปราบฯ,ป้อมปราบฯ,13.75826,100.51304,19/11/2568 21:45,2
